8, 46, 0, 
8, 47, 2, 
8, 48, 0, 
8, 49, 0, 
8, 50, 0, 
8, 51, 2, 
8, 52, 0, 
8, 53, 1, 
8, 54, 0, 
8, 55, 0, 
8, 56, 0, 
8, 57, 0, 
8, 58, 0, 
8, 59, 0, 
8, 60, 0, 
8, 61, 0, 
8, 62, 0, 
9, 0, 0, 
9, 4, 0, 
9, 5, 0, 
9, 6, 0, 
9, 7, 0, 
9, 10, 0, 
9, 12, 0, 
9, 14, 0, 
9, 16, 0, 
9, 18, 0, 
9, 20, 0, 
9, 68, 0, 
9, 69, 0, 
9, 70, 0, 
9, 71, 0, 
9, 72, 0, 
9, 78, 0, 
10, 0, 0, 
10, 4, 0, 
10, 5, 0, 
10, 6, 0, 
10, 7, 0, 
10, 11, 0, 
10, 13, 0, 
10, 15, 0, 
10, 17, 0, 
10, 19, 0, 
10, 21, 8, 
10, 22, 0, 
10, 23, 0, 
10, 24, 0, 
10, 25, 0, 
10, 26, 0, 
10, 63, 0, 
10, 64, 0, 
10, 65, 0, 
10, 66, 0, 
10, 67, 0, 
10, 73, 0, 
10, 74, 0, 
10, 75, 0, 
10, 76, 0, 
10, 77, 0, 
10, 78, 0, 
11, 0, 0, 
11, 4, 0, 
11, 5, 0, 
11, 6, 0, 
11, 7, 0, 
11, 12, 0, 
11, 14, 0, 
11, 16, 0, 
11, 18, 0, 
11, 20, 0, 
11, 68, 0, 
11, 69, 0, 
11, 70, 0, 
11, 71, 0, 
11, 72, 0, 
11, 78, 0, 
12, 0, 0, 
12, 4, 0, 
12, 5, 0, 
12, 6, 0, 
12, 7, 0, 
12, 13, 0, 
12, 15, 0, 
12, 17, 0, 
12, 19, 0, 
12, 22, 1, 
12, 23, 0, 
12, 24, 0, 
12, 25, 0, 
12, 26, 0, 
12, 64, 0, 
12, 65, 0, 
12, 66, 0, 
12, 67, 0, 
12, 73, 0, 
12, 74, 0, 
12, 75, 0, 
12, 76, 0, 
12, 77, 0, 
12, 78, 0, 
13, 0, 0, 
13, 4, 0, 
13, 5, 0, 
13, 6, 0, 
13, 7, 0, 
13, 14, 9, 
13, 16, 0, 
13, 18, 0, 
13, 20, 0, 
13, 69, 0, 
13, 70, 0, 
13, 71, 0, 
13, 72, 0, 
13, 78, 0, 
14, 0, 0, 
14, 4, 3, 
14, 5, 0, 
14, 6, 0, 
14, 7, 0, 
14, 15, 0, 
14, 17, 0, 
14, 19, 0, 
14, 23, 13, 
14, 24, 0, 
14, 25, 0, 
14, 26, 0, 
14, 65, 0, 
14, 66, 0, 
14, 67, 0, 
14, 74, 0, 
14, 75, 0, 
14, 76, 0, 
14, 77, 0, 
14, 78, 2, 
15, 0, 0, 
15, 4, 0, 
15, 5, 0, 
15, 6, 0, 
15, 7, 0, 
15, 16, 7, 
15, 18, 0, 
15, 20, 0, 
15, 70, 0, 
15, 71, 0, 
15, 72, 0, 
15, 78, 0, 
16, 0, 0, 
16, 4, 0, 
16, 5, 0, 
16, 6, 0, 
16, 7, 0, 
16, 17, 0, 
16, 19, 0, 
16, 24, 9, 
16, 25, 0, 
16, 26, 0, 
16, 66, 0, 
16, 67, 0, 
16, 75, 0, 
16, 76, 0, 
16, 77, 0, 
16, 78, 2, 
17, 0, 0, 
17, 4, 0, 
17, 5, 0, 
17, 6, 0, 
17, 7, 0, 
17, 18, 3, 
17, 20, 0, 
17, 71, 0, 
17, 72, 0, 
17, 78, 0, 
18, 0, 0, 
18, 4, 0, 
18, 5, 0, 
18, 6, 0, 
18, 7, 0, 
18, 19, 0, 
18, 25, 4, 
18, 26, 0, 
18, 67, 0, 
18, 76, 0, 
18, 77, 0, 
18, 78, 1, 
19, 0, 0, 
19, 4, 0, 
19, 5, 0, 
19, 6, 0, 
19, 7, 0, 
19, 20, 2, 
19, 72, 0, 
19, 78, 0, 
20, 0, 0, 
20, 4, 0, 
20, 5, 0, 
20, 6, 0, 
20, 7, 0, 
20, 26, 2, 
20, 77, 0, 
20, 78, 1, 
21, 0, 0, 
21, 4, 0, 
21, 7, 0, 
21, 12, 0, 
21, 14, 0, 
21, 16, 0, 
21, 18, 0, 
21, 20, 0, 
21, 27, 4, 
21, 28, 0, 
21, 29, 0, 
21, 30, 0, 
21, 31, 0, 
21, 32, 0, 
21, 33, 6, 
21, 34, 0, 
21, 35, 0, 
21, 36, 0, 
21, 37, 0, 
21, 38, 0, 
21, 46, 0, 
21, 48, 0, 
21, 50, 0, 
21, 52, 0, 
21, 54, 0, 
21, 56, 0, 
21, 57, 0, 
21, 58, 0, 
21, 59, 0, 
21, 60, 0, 
21, 61, 0, 
21, 62, 0, 
21, 68, 0, 
21, 69, 0, 
21, 70, 0, 
21, 71, 0, 
21, 72, 0, 
21, 78, 0, 
22, 0, 0, 
22, 4, 0, 
22, 7, 0, 
22, 14, 0, 
22, 16, 0, 
22, 18, 0, 
22, 20, 0, 
22, 28, 2, 
22, 29, 0, 
22, 30, 0, 
22, 31, 0, 
22, 32, 0, 
22, 34, 0, 
22, 35, 0, 
22, 36, 0, 
22, 37, 0, 
22, 38, 0, 
22, 48, 0, 
22, 50, 0, 
22, 52, 0, 
22, 54, 0, 
22, 56, 0, 
22, 58, 0, 
22, 59, 0, 
22, 60, 0, 
22, 61, 0, 
22, 62, 0, 
22, 69, 0, 
22, 70, 0, 
22, 71, 0, 
22, 72, 0, 
22, 78, 1, 
23, 0, 0, 
23, 4, 0, 
23, 7, 0, 
23, 16, 0, 
23, 18, 0, 
23, 20, 0, 
23, 29, 8, 
23, 30, 0, 
23, 31, 0, 
23, 32, 0, 
23, 35, 3, 
23, 36, 0, 
23, 37, 0, 
23, 38, 0, 
23, 50, 0, 
23, 52, 0, 
23, 54, 0, 
23, 56, 0, 
23, 59, 0, 
23, 60, 0, 
23, 61, 0, 
23, 62, 0, 
23, 70, 0, 
23, 71, 0, 
23, 72, 0, 
23, 78, 3, 
24, 0, 0, 
24, 4, 0, 
24, 7, 0, 
24, 18, 0, 
24, 20, 0, 
24, 30, 2, 
24, 31, 0, 
24, 32, 0, 
24, 36, 3, 
24, 37, 0, 
24, 38, 0, 
24, 52, 0, 
24, 54, 0, 
24, 56, 0, 
24, 60, 0, 
24, 61, 0, 
24, 62, 0, 
24, 71, 0, 
24, 72, 0, 
24, 78, 4, 
25, 0, 0, 
25, 4, 0, 
25, 7, 0, 
25, 20, 0, 
25, 31, 0, 
25, 32, 0, 
25, 37, 1, 
25, 38, 0, 
25, 54, 0, 
25, 56, 0, 
25, 61, 0, 
25, 62, 0, 
25, 72, 0, 
25, 78, 3, 
26, 0, 0, 
26, 4, 0, 
26, 7, 0, 
26, 32, 0, 
26, 38, 0, 
26, 56, 0, 
26, 62, 0, 
26, 78, 2, 
27, 0, 0, 
27, 1, 0, 
27, 2, 0, 
27, 3, 0, 
27, 7, 0, 
27, 8, 0, 
27, 22, 0, 
27, 23, 0, 
27, 24, 0, 
27, 25, 0, 
27, 26, 0, 
27, 33, 26, 
27, 34, 0, 
27, 35, 0, 
27, 36, 0, 
27, 37, 0, 
27, 38, 0, 
27, 46, 0, 
27, 48, 0, 
27, 50, 0, 
27, 52, 0, 
27, 54, 0, 
27, 56, 0, 
27, 63, 0, 
27, 64, 0, 
27, 65, 0, 
27, 66, 0, 
27, 67, 0, 
27, 78, 0, 
28, 0, 0, 
28, 1, 0, 
28, 2, 1, 
28, 3, 0, 
28, 7, 0, 
28, 8, 0, 
28, 23, 0, 
28, 24, 0, 
28, 25, 0, 
28, 26, 0, 
28, 34, 1, 
28, 35, 0, 
28, 36, 0, 
28, 37, 0, 
28, 38, 0, 
28, 48, 0, 
28, 50, 0, 
28, 52, 0, 
28, 54, 0, 
28, 56, 0, 
28, 64, 0, 
28, 65, 0, 
28, 66, 0, 
28, 67, 0, 
28, 78, 0, 
29, 0, 0, 
29, 1, 0, 
29, 2, 3, 
29, 3, 0, 
29, 7, 0, 
29, 8, 0, 
29, 24, 0, 
29, 25, 0, 
29, 26, 0, 
29, 35, 5, 
29, 36, 0, 
29, 37, 0, 
29, 38, 0, 
29, 50, 0, 
29, 52, 0, 
29, 54, 0, 
29, 56, 0, 
29, 65, 0, 
29, 66, 0, 
29, 67, 0, 
29, 78, 0, 
30, 0, 0, 
30, 1, 0, 
30, 2, 0, 
30, 3, 0, 
30, 7, 0, 
30, 8, 0, 
30, 25, 0, 
30, 26, 0, 
30, 36, 2, 
30, 37, 0, 
30, 38, 0, 
30, 52, 0, 
30, 54, 0, 
30, 56, 0, 
30, 66, 0, 
30, 67, 0, 
30, 78, 0, 
31, 0, 0, 
31, 1, 0, 
31, 2, 0, 
31, 3, 0, 
31, 7, 0, 
31, 8, 0, 
31, 26, 0, 
31, 37, 0, 
31, 38, 0, 
31, 54, 0, 
31, 56, 0, 
31, 67, 0, 
31, 78, 0, 
32, 0, 0, 
32, 1, 0, 
32, 2, 0, 
32, 3, 0, 
32, 7, 0, 
32, 8, 0, 
32, 38, 0, 
32, 56, 0, 
32, 78, 0, 
33, 1, 9, 
33, 2, 9, 
33, 3, 5, 
33, 8, 2, 
33, 22, 0, 
33, 23, 0, 
33, 24, 0, 
33, 25, 0, 
33, 26, 0, 
33, 28, 0, 
33, 29, 0, 
33, 30, 0, 
33, 31, 0, 
33, 32, 0, 
33, 39, 7, 
33, 40, 0, 
33, 41, 0, 
33, 42, 0, 
33, 43, 0, 
33, 44, 0, 
33, 47, 0, 
33, 49, 0, 
33, 51, 0, 
33, 53, 0, 
33, 55, 0, 
33, 57, 0, 
33, 58, 0, 
33, 59, 0, 
33, 60, 0, 
33, 61, 0, 
33, 62, 0, 
33, 63, 0, 
33, 64, 0, 
33, 65, 0, 
33, 66, 0, 
33, 67, 0, 
34, 1, 1, 
34, 2, 0, 
34, 3, 0, 
34, 8, 0, 
34, 23, 0, 
34, 24, 0, 
34, 25, 0, 
34, 26, 0, 
34, 29, 0, 
34, 30, 0, 
34, 31, 0, 
34, 32, 0, 
34, 40, 0, 
34, 41, 0, 
34, 42, 0, 
34, 43, 0, 
34, 44, 0, 
34, 49, 0, 
34, 51, 0, 
34, 53, 0, 
34, 55, 0, 
34, 58, 0, 
34, 59, 0, 
34, 60, 0, 
34, 61, 0, 
34, 62, 0, 
34, 64, 0, 
34, 65, 0, 
34, 66, 0, 
34, 67, 0, 
35, 1, 1, 
35, 2, 0, 
